id,code,name,area,area_land,area_water,population,population_growth,birth_rate,death_rate,migration_rate
9,as,Australia,7741220,7682300,58920,22751014,1.07,12.15,7.14,5.65
59,fj,Fiji,18274,18274,0,909389,0.67,19.43,6.04,6.75
78,id,Indonesia,1904569,1811569,93000,255993674,0.92,16.72,6.37,1.16
89,kr,Kiribati,811,811,0,105711,1.15,21.46,7.12,2.87
111,rm,Marshall Islands,181,181,0,72191,1.66,25.6,4.21,4.83
115,fm,Federated States of Micronesia,702,702,0,105216,0.46,20.54,4.23,20.93
123,nr,Nauru,21,21,0,9540,0.55,24.95,5.87,13.63
126,nz,New Zealand,267710,267710,,4438393,0.82,13.33,7.36,2.21
133,ps,Palau,459,459,0,21265,0.38,11.05,7.99,0.71
135,pp,Papua New Guinea,462840,452860,9980,6672429,1.78,24.38,6.53,0
148,ws,Samoa,2831,2821,10,197773,0.58,20.87,5.32,9.78
159,bp,Solomon Islands,28896,27986,910,622469,2.02,25.77,3.85,1.75
174,tt,Timor-Leste,14874,14874,0,1231116,2.42,34.16,6.1,3.86
176,tn,Tonga,747,717,30,106501,0.03,23,4.85,17.84
181,tv,Tuvalu,26,26,0,10869,0.82,23.74,8.74,6.81
189,nh,Vanuatu,12189,12189,0,272264,1.95,25.04,4.09,1.47
201,cr,Coral Sea Islands,3,3,0,,,,,
202,hm,Heard Island and McDonald Islands,412,412,0,,,,,
203,nf,Norfolk Island,36,36,0,2210,0.01,,,
209,fp,French Polynesia,4167,3827,340,282703,0.94,15.22,5.02,0.84
211,nc,New Caledonia,18575,18275,300,271615,1.38,15.33,5.52,4.01
219,cw,Cook Islands,236,236,0,9838,2.95,14.33,8.03,
220,ne,Niue,260,260,0,1190,0.03,,,
221,tl,Tokelau,12,12,0,1337,0.01,,,
225,ax,Akrotiri,123,,,15700,,,,
242,aq,American Samoa,199,199,0,54343,0.3,22.89,4.75,21.13
243,gq,Guam,544,544,0,161785,0.54,16.82,5.12,6.34
244,bq,Navassa Island,5,5,0,,,,,
245,cq,Northern Mariana Islands,464,464,0,52344,2.18,18.32,3.71,7.16
248,wq,Wake Island,6,6,0,,,,,
